X1	X2	Colors
1	-0.481784567702562	0.547612074995413	red
2	-0.284473464125767	0.835821110289544	red
3	-0.324098462006077	0.976975492201746	red
4	-0.078877015504986	0.363041972974315	red
5	-0.0212141810916364	0.804513579932973	red
6	-0.254058022517711	0.893029207829386	red
7	-0.67984120035544	0.430020411033183	red
8	-0.602103754645213	0.320489094126970	red
9	-0.106885302113369	0.714327597524971	red
10	-0.574473553569987	0.869199587963521	red
11	-0.71553001110442	0.725113643566146	red
12	-0.459999850019813	0.0972295079845935	red
13	-0.186205595266074	0.615305507089943	red
14	-0.959525548387319	0.272230758098885	red
15	-0.0231364453211427	0.455887358402833	red
16	-0.386536725331098	0.347248050617054	red
17	-0.4154787233565	0.883452743291855	red
18	-0.600721029797569	0.147783323423937	red
19	-0.89750157808885	0.399116009473801	red
20	-0.4078881861642	0.194691657554358	red
21	-0.943341804435477	0.497594405664131	red
22	-0.70805398793891	0.678295327350497	red
23	-0.79043235629797	0.384575493400916	red
24	-0.8877472570166	0.730090408585966	red
25	-0.949768782127649	0.861829001456499	red
26	-0.567327457014471	0.197211786638945	red
27	-0.945909683359787	0.913769140839577	red
28	-0.312632524175569	0.796929163858294	red
29	-0.588554756715894	0.361817826749757	red
30	-0.88292878982611	0.573330649873242	red
31	0.213899683672935	-0.869708777405322	red
32	0.667520906077698	-0.814843789674342	red
33	0.205829065525904	-0.454454913036898	red
34	0.296282942639664	-0.815787575440481	red
35	0.139379709260538	-0.841972356196493	red
36	0.364392727613449	-0.226728775771335	red
37	0.327924102544785	-0.179435233119875	red
38	0.94242338766344	-0.968113952549174	red
39	0.0926010482944548	-0.917413069168106	red
40	0.652661223430187	-0.511255571851507	red
41	0.0893280415330082	-0.168751823948696	red
42	0.0684642267879099	-0.713680887361988	red
43	0.00578500656411052	-0.548042538110167	red
44	0.560238976031542	-0.839728244813159	red
45	0.405569752212614	-0.372278284514323	red
46	0.593737345188856	-0.716085749678314	red
47	0.67718265322037	-0.164782163221389	red
48	0.75658613583073	-0.94935462065041	red
49	0.21792679768987	-0.929226394742727	red
50	0.82131793233566	-0.69712571054697	red
51	0.525539842434227	-0.944221059558913	red
52	0.0294489711523056	-0.702967323362827	red
53	0.494529676623642	-0.38264023931697	red
54	0.453628490446135	-0.97664038464427	red
55	0.950530149042606	-0.230381666915491	red
56	0.50368878711015	-0.930593824014068	red
57	0.894655266776681	-0.706613942515105	red
58	0.988097730791196	-0.761952597880736	red
59	0.0837341072037816	-0.6407865206711	red
60	0.80299758235924	-0.460787344491109	red
61	-0.851818770403042	-0.152227686950937	green
62	-0.63302922481671	-0.527018852764741	green
63	-0.572219729889184	-0.979343326529488	green
64	-0.113026425475255	-0.8290870024357	green
65	-0.887136255856603	-0.495825477177277	green
66	-0.923946218332276	-0.800589655991644	green
67	-0.726006080396473	-0.833595196949318	green
68	-0.384326279861853	-0.812558649107814	green
69	-0.304051251849160	-0.540823021670803	green
70	-0.993018282577395	-0.477861719205976	green
71	-0.326656538294628	-0.20256043295376	green
72	-0.0672633659560233	-0.421453374437988	green
73	-0.866117079276592	-0.536351498914883	green
74	-0.206064138095826	-0.200734075158834	green
75	-0.77008366631344	-0.589217681437731	green
76	-0.732390149030834	-0.0330095170065761	green
77	-0.551581350155175	-0.0349413466174155	green
78	-0.711358109256253	-0.374828975880519	green
79	-0.888499220600352	-0.366619819775224	green
80	-0.215165119152516	-0.972604763694108	green
81	-0.854327221168205	-0.00364015530794859	green
82	-0.374850131105632	-0.549652814632282	green
83	-0.850054193055257	-0.229998823488131	green
84	-0.546396222664043	-0.249147347174585	green
85	-0.364466303028166	-0.297429096885026	green
86	-0.16788119985722	-0.00698989140801132	green
87	-0.499005782883614	-0.758428370812908	green
88	-0.100601722951978	-0.85288368887268	green
89	-0.168558465782553	-0.420647790655494	green
90	-0.630446908995509	-0.916989567223936	green
91	0.191541304346174	0.98234692006372	green
92	0.429897708119825	0.8888302561827	green
93	0.168700294336304	0.810519383987412	green
94	0.422331793466583	0.07117735943757	green
95	0.365912976907566	0.669909446500242	green
96	0.0959199878852814	0.433146205963567	green
97	0.351149608613923	0.411263258196414	green
98	0.934264605864882	0.553008073242381	green
99	0.311712490860373	0.0678423966746777	green
100	0.559403195977211	0.389796307077631	green
101	0.874874292174354	0.432797575369477	green
102	0.826926634879783	0.265374015085399	green
103	0.572083513485268	0.0327989396173507	green
104	0.00625931192189455	0.411424160702154	green
105	0.849681485677138	0.0414179435465485	green
106	0.454558307537809	0.698601825395599	green
107	0.227683828445151	0.5477905345615	green
108	0.327614639885724	0.269725156947970	green
109	0.0458968372549862	0.948309683939442	green
110	0.185329090803862	0.131855169078335	green
111	0.207185293082148	0.71272836253047	green
112	0.376902367454022	0.164055788656697	green
113	0.0977779272943735	0.314015094656497	green
114	0.769196796230972	0.145782437408343	green
115	0.384331082226709	0.519281756132841	green
116	0.0463691835757345	0.383356566308066	green
117	0.789532143156976	0.289551940979436	green
118	0.643757848767564	0.538358903722838	green
119	0.427459820639342	0.937479201704264	green
120	0.423782091587782	0.407967789564282	green
