X	Y
1	0	-0.0356618156529902
2	0.05	0.0597840364813697
3	0.1	-0.111344118718146
4	0.15	0.0997283487681234
5	0.2	0.297807818918548
6	0.25	0.306224633403688
7	0.3	0.208474275155428
8	0.35	0.308911373971342
9	0.4	0.355650925361416
10	0.45	0.515538551085174
11	0.5	0.587761880444346
12	0.55	0.610268450414051
13	0.6	0.486932205514282
14	0.65	0.811023336745589
15	0.7	0.586741824310159
16	0.75	0.734430442582414
17	0.8	0.720572280784284
18	0.85	0.692930894057436
19	0.9	0.847439778108304
20	0.95	0.839618475246205
21	1	0.768390384009203
22	1.05	0.959031011148159
23	1.1	0.880083629260743
24	1.15	0.998575380468286
25	1.2	0.680645417992156
26	1.25	0.757957815430731
27	1.3	1.06507723043130
28	1.35	1.02801761641111
29	1.4	0.84870052829814
30	1.45	1.06681649494414
31	1.5	0.872522515759724
32	1.55	1.20016327284496
33	1.6	1.03411427580059
34	1.65	0.907943759939766
35	1.7	0.999773138072179
36	1.75	1.00749803896160
37	1.8	1.01860184909580
38	1.85	0.954916367555139
39	1.9	1.08395959382192
40	1.95	0.819316799502653
41	2	0.734035448996297
42	2.05	0.947811005079082
43	2.1	0.815524279745042
44	2.15	0.925962342766682
45	2.2	0.76017524921861
46	2.25	0.84636088161855
47	2.3	0.774194266486
48	2.35	0.739261976572139
49	2.4	0.724243286922834
50	2.45	0.638091741941728
51	2.5	0.516424569848362
52	2.55	0.675332423827874
53	2.6	0.513379861158127
54	2.65	0.321267959592187
55	2.7	0.438083796038426
56	2.75	0.228881649038333
57	2.8	0.279197767813106
58	2.85	0.390961741772748
59	2.9	0.138794607326833
60	2.95	0.357526831604481
61	3	0.160369417221789
62	3.05	0.117701513091472
63	3.1	-0.0175827091653952
64	3.15	-0.0509968196050127
65	3.2	-0.146392205711962
66	3.25	-0.029380057234273
67	3.3	-0.138207984335983
68	3.35	-0.332202970343705
69	3.4	-0.113466673026787
70	3.45	-0.213091423572502
71	3.5	-0.350542158722764
72	3.55	-0.333355686836707
73	3.6	-0.424412980676373
74	3.65	-0.591987301503347
75	3.7	-0.476491115558475
76	3.75	-0.494140248505966
77	3.8	-0.768096576375634
78	3.85	-0.417935452294526
79	3.9	-0.569753986494132
80	3.95	-0.856221424852576
81	4	-0.837349930636125
82	4.05	-0.729968093175982
83	4.1	-0.951412279027239
84	4.15	-0.928843405061732
85	4.2	-0.80372415921199
86	4.25	-0.7700404272188
87	4.3	-1.03773682544713
88	4.35	-0.929089165460623
89	4.4	-0.990513721803586
90	4.45	-1.06090579871891
91	4.5	-0.885561529390998
92	4.55	-1.09461668075621
93	4.6	-1.09906907900835
94	4.65	-0.885494945620877
95	4.7	-1.05191110241722
96	4.75	-0.799212571050298
97	4.8	-1.19966322135759
98	4.85	-0.926103583366803
99	4.9	-0.855846905247702
100	4.95	-0.867528555217803
101	5	-1.09817110682860
